State,District,Block,Date,Rainfall
Punjab,Tarn Taran,Tarn Taran,1985-04-09,4.26686125
Punjab,Tarn Taran,Tarn Taran,1985-04-10,1.791551657
Punjab,Tarn Taran,Tarn Taran,1985-04-11,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-12,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-13,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-14,2.420093584
Punjab,Tarn Taran,Tarn Taran,1985-04-15,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-16,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-17,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-18,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-19,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-20,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-21,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-22,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-23,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-24,1.866751115
Punjab,Tarn Taran,Tarn Taran,1985-04-25,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-26,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-27,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-28,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-29,0.0
Punjab,Tarn Taran,Tarn Taran,1985-04-30,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-01,0.5681103766
Punjab,Tarn Taran,Tarn Taran,1985-05-02,9.106813931
Punjab,Tarn Taran,Tarn Taran,1985-05-03,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-04,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-05,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-06,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-07,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-08,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-09,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-10,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-11,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-12,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-13,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-14,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-15,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-16,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-17,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-18,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-19,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-20,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-21,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-22,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-23,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-24,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-25,4.491610198
Punjab,Tarn Taran,Tarn Taran,1985-05-26,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-27,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-28,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-29,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-30,0.0
Punjab,Tarn Taran,Tarn Taran,1985-05-31,0.0
Punjab,Tarn Taran,Tarn Taran,1985-06-01,0.0
Punjab,Tarn Taran,Tarn Taran,1985-06-02,0.0
Punjab,Tarn Taran,Tarn Taran,1985-06-03,0.08180862665
Punjab,Tarn Taran,Tarn Taran,1985-06-04,0.0
Punjab,Tarn Taran,Tarn Taran,1985-06-05,0.0
Punjab,Tarn Taran,Tarn Taran,1985-06-06,0.0
Punjab,Tarn Taran,Tarn Taran,1985-06-07,0.0
Punjab,Tarn Taran,Tarn Taran,1985-06-08,1.878440824
Punjab,Tarn Taran,Tarn Taran,1985-06-09,0.0
Punjab,Tarn Taran,Tarn Taran,1985-06-10,1.249387658
